,hora,temperatura,Punto de rocio,Humedad,viento,nudos de viento,Rafaga,Presion,Precipitacion,Condicion,fecha
0,5:00 AM,54 °F,52 °F,94 %,VAR,1 mph,0 mph,21.58 in,0.0 in,Partly Cloudy,2020-01-05
1,6:00 AM,54 °F,48 °F,82 %,SSW,2 mph,0 mph,21.60 in,0.0 in,Partly Cloudy,2020-01-05
2,7:00 AM,55 °F,48 °F,77 %,VAR,1 mph,0 mph,21.63 in,0.0 in,Partly Cloudy,2020-01-05
3,8:00 AM,57 °F,50 °F,77 %,NNE,3 mph,0 mph,21.65 in,0.0 in,Partly Cloudy,2020-01-05
4,9:00 AM,61 °F,52 °F,72 %,ESE,5 mph,0 mph,21.65 in,0.0 in,Partly Cloudy,2020-01-05
5,10:00 AM,64 °F,48 °F,56 %,VAR,2 mph,0 mph,21.65 in,0.0 in,Mostly Cloudy,2020-01-05
6,11:00 AM,68 °F,34 °F,28 %,VAR,3 mph,0 mph,21.63 in,0.0 in,Partly Cloudy,2020-01-05
7,12:00 PM,68 °F,41 °F,37 %,N,3 mph,0 mph,21.58 in,0.0 in,Partly Cloudy,2020-01-05
8,1:00 PM,70 °F,43 °F,38 %,VAR,1 mph,0 mph,21.56 in,0.0 in,Mostly Cloudy,2020-01-05
9,2:00 PM,72 °F,45 °F,38 %,VAR,2 mph,0 mph,21.54 in,0.0 in,Mostly Cloudy,2020-01-05
10,3:00 PM,72 °F,45 °F,38 %,VAR,2 mph,0 mph,21.52 in,0.0 in,Cloudy,2020-01-05
11,4:00 PM,72 °F,46 °F,41 %,SSW,3 mph,0 mph,21.50 in,0.0 in,Mostly Cloudy,2020-01-05
12,5:00 PM,72 °F,45 °F,38 %,VAR,1 mph,0 mph,21.50 in,0.0 in,Mostly Cloudy,2020-01-05
13,5:22 PM,72 °F,43 °F,35 %,SW,13 mph,0 mph,21.50 in,0.0 in,Mostly Cloudy,2020-01-05
14,6:00 PM,70 °F,41 °F,35 %,SSW,14 mph,0 mph,21.50 in,0.0 in,Partly Cloudy,2020-01-05
15,5:00 AM,52 °F,45 °F,76 %,ENE,3 mph,0 mph,21.65 in,0.0 in,Fair,2020-01-12
16,6:00 AM,52 °F,45 °F,76 %,CALM,0 mph,0 mph,21.67 in,0.0 in,Fair,2020-01-12
17,7:00 AM,55 °F,43 °F,63 %,VAR,1 mph,0 mph,21.67 in,0.0 in,Fair,2020-01-12
18,8:00 AM,59 °F,45 °F,59 %,VAR,2 mph,0 mph,21.69 in,0.0 in,Fair,2020-01-12
19,9:00 AM,63 °F,46 °F,55 %,VAR,6 mph,0 mph,21.69 in,0.0 in,Fair,2020-01-12
20,10:00 AM,64 °F,45 °F,49 %,VAR,3 mph,0 mph,21.67 in,0.0 in,Fair,2020-01-12
21,11:00 AM,70 °F,48 °F,46 %,VAR,5 mph,0 mph,21.65 in,0.0 in,Fair,2020-01-12
22,12:00 PM,72 °F,45 °F,38 %,N,8 mph,0 mph,21.63 in,0.0 in,Fair,2020-01-12
23,1:00 PM,75 °F,45 °F,34 %,VAR,6 mph,0 mph,21.60 in,0.0 in,Partly Cloudy,2020-01-12
24,2:00 PM,75 °F,45 °F,34 %,VAR,3 mph,0 mph,21.56 in,0.0 in,Partly Cloudy,2020-01-12
25,3:00 PM,75 °F,46 °F,36 %,NNE,7 mph,0 mph,21.54 in,0.0 in,Partly Cloudy,2020-01-12
26,3:29 PM,75 °F,43 °F,31 %,NW,12 mph,0 mph,21.52 in,0.0 in,Mostly Cloudy,2020-01-12
27,4:00 PM,77 °F,37 °F,24 %,NE,14 mph,0 mph,21.52 in,0.0 in,Partly Cloudy,2020-01-12
28,5:00 PM,73 °F,41 °F,31 %,NNE,7 mph,0 mph,21.52 in,0.0 in,Partly Cloudy,2020-01-12
29,6:00 PM,73 °F,41 °F,31 %,NNE,9 mph,0 mph,21.52 in,0.0 in,Partly Cloudy,2020-01-12
30,5:00 AM,55 °F,50 °F,82 %,CALM,0 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2020-01-19
31,6:00 AM,55 °F,48 °F,77 %,VAR,2 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2020-01-19
32,7:00 AM,57 °F,48 °F,72 %,VAR,2 mph,0 mph,21.69 in,0.0 in,Mostly Cloudy,2020-01-19
33,8:00 AM,59 °F,50 °F,72 %,VAR,1 mph,0 mph,21.71 in,0.0 in,Mostly Cloudy,2020-01-19
34,9:00 AM,61 °F,52 °F,72 %,E,3 mph,0 mph,21.73 in,0.0 in,Mostly Cloudy,2020-01-19
35,10:00 AM,63 °F,50 °F,63 %,VAR,3 mph,0 mph,21.71 in,0.0 in,Mostly Cloudy,2020-01-19
36,11:00 AM,66 °F,50 °F,56 %,VAR,2 mph,0 mph,21.71 in,0.0 in,Mostly Cloudy,2020-01-19
37,12:00 PM,66 °F,46 °F,49 %,ENE,5 mph,0 mph,21.69 in,0.0 in,Mostly Cloudy,2020-01-19
38,1:00 PM,70 °F,46 °F,43 %,WNW,6 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2020-01-19
39,2:00 PM,70 °F,48 °F,46 %,NNW,5 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2020-01-19
40,3:00 PM,73 °F,46 °F,38 %,VAR,3 mph,0 mph,21.58 in,0.0 in,Partly Cloudy,2020-01-19
41,4:00 PM,73 °F,45 °F,36 %,NW,6 mph,0 mph,21.56 in,0.0 in,Fair,2020-01-19
42,6:00 PM,72 °F,43 °F,35 %,WNW,7 mph,0 mph,21.56 in,0.0 in,Partly Cloudy,2020-01-19
43,5:00 AM,55 °F,48 °F,77 %,ENE,2 mph,0 mph,21.65 in,0.0 in,Fair,2020-01-26
44,6:00 AM,55 °F,48 °F,77 %,CALM,0 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2020-01-26
45,7:00 AM,57 °F,48 °F,72 %,NE,3 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2020-01-26
46,8:00 AM,59 °F,50 °F,72 %,NE,2 mph,0 mph,21.69 in,0.0 in,Mostly Cloudy,2020-01-26
47,9:00 AM,63 °F,52 °F,68 %,ENE,7 mph,0 mph,21.69 in,0.0 in,Partly Cloudy,2020-01-26
