,hora,temperatura,Punto de rocio,Humedad,viento,nudos de viento,Rafaga,Presion,Precipitacion,Condicion,fecha
0,5:00 AM,54 °F,52 °F,94 %,VAR,1 mph,0 mph,21.67 in,0.0 in,Patches of Fog,2020-01-04
1,6:00 AM,55 °F,54 °F,94 %,CALM,0 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2020-01-04
2,7:00 AM,57 °F,54 °F,88 %,NNE,5 mph,0 mph,21.69 in,0.0 in,Patches of Fog,2020-01-04
3,8:00 AM,61 °F,52 °F,72 %,ENE,6 mph,0 mph,21.71 in,0.0 in,Mostly Cloudy,2020-01-04
4,9:00 AM,63 °F,52 °F,68 %,VAR,2 mph,0 mph,21.69 in,0.0 in,Partly Cloudy,2020-01-04
5,10:00 AM,64 °F,50 °F,59 %,VAR,3 mph,0 mph,21.69 in,0.0 in,Partly Cloudy,2020-01-04
6,11:00 AM,68 °F,48 °F,49 %,VAR,2 mph,0 mph,21.65 in,0.0 in,Fair,2020-01-04
7,12:00 PM,72 °F,50 °F,46 %,VAR,3 mph,0 mph,21.60 in,0.0 in,Fair,2020-01-04
8,1:00 PM,73 °F,45 °F,36 %,VAR,3 mph,0 mph,21.58 in,0.0 in,Fair,2020-01-04
9,2:00 PM,75 °F,46 °F,36 %,VAR,2 mph,0 mph,21.54 in,0.0 in,Fair,2020-01-04
10,3:00 PM,77 °F,46 °F,34 %,WNW,8 mph,0 mph,21.50 in,0.0 in,Fair,2020-01-04
11,3:10 PM,77 °F,48 °F,36 %,VAR,7 mph,0 mph,21.50 in,0.0 in,Thunder,2020-01-04
12,4:00 PM,64 °F,46 °F,52 %,S,23 mph,45 mph,21.52 in,0.0 in,T-Storm / Windy,2020-01-04
13,4:02 PM,59 °F,52 °F,77 %,SSW,35 mph,48 mph,21.54 in,0.0 in,Heavy T-Storm / Windy,2020-01-04
14,5:00 PM,57 °F,50 °F,77 %,ENE,9 mph,0 mph,21.56 in,0.0 in,Light Rain with Thunder,2020-01-04
15,6:00 PM,59 °F,52 °F,77 %,SW,5 mph,0 mph,21.58 in,0.0 in,Light Drizzle,2020-01-04
16,5:00 AM,57 °F,43 °F,59 %,VAR,3 mph,0 mph,21.60 in,0.0 in,Mostly Cloudy,2020-01-11
17,6:00 AM,55 °F,43 °F,63 %,CALM,0 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2020-01-11
18,7:00 AM,59 °F,45 °F,59 %,VAR,2 mph,0 mph,21.65 in,0.0 in,Fair,2020-01-11
19,8:00 AM,61 °F,46 °F,59 %,NE,7 mph,0 mph,21.65 in,0.0 in,Fair,2020-01-11
20,9:00 AM,64 °F,43 °F,45 %,VAR,3 mph,0 mph,21.65 in,0.0 in,Fair,2020-01-11
21,10:00 AM,70 °F,46 °F,43 %,VAR,3 mph,15 mph,21.63 in,0.0 in,Fair,2020-01-11
22,11:00 AM,72 °F,45 °F,38 %,VAR,3 mph,0 mph,21.60 in,0.0 in,Fair,2020-01-11
23,12:00 PM,72 °F,41 °F,33 %,NE,9 mph,0 mph,21.60 in,0.0 in,Showers in the Vicinity,2020-01-11
24,12:19 PM,70 °F,45 °F,40 %,NNE,13 mph,24 mph,21.60 in,0.0 in,Showers in the Vicinity,2020-01-11
25,1:00 PM,72 °F,41 °F,33 %,E,10 mph,0 mph,21.58 in,0.0 in,Fair,2020-01-11
26,1:40 PM,75 °F,41 °F,29 %,SE,14 mph,0 mph,21.56 in,0.0 in,Fair,2020-01-11
27,2:00 PM,75 °F,39 °F,27 %,SE,15 mph,26 mph,21.56 in,0.0 in,Fair,2020-01-11
28,3:00 PM,75 °F,39 °F,27 %,VAR,7 mph,18 mph,21.54 in,0.0 in,Partly Cloudy,2020-01-11
29,3:31 PM,73 °F,39 °F,29 %,ENE,8 mph,0 mph,21.54 in,0.0 in,Thunder,2020-01-11
30,4:00 PM,66 °F,45 °F,46 %,NNE,17 mph,38 mph,21.54 in,0.0 in,Thunder,2020-01-11
31,5:00 PM,59 °F,46 °F,63 %,NW,10 mph,0 mph,21.58 in,0.0 in,Light Drizzle,2020-01-11
32,6:00 PM,61 °F,46 °F,59 %,E,5 mph,0 mph,21.60 in,0.0 in,Showers in the Vicinity,2020-01-11
33,5:00 AM,54 °F,50 °F,88 %,ESE,3 mph,0 mph,21.69 in,0.0 in,Drizzle,2020-01-18
34,6:00 AM,54 °F,50 °F,88 %,CALM,0 mph,0 mph,21.69 in,0.0 in,Mostly Cloudy,2020-01-18
35,7:00 AM,54 °F,50 °F,88 %,CALM,0 mph,0 mph,21.71 in,0.0 in,Showers in the Vicinity,2020-01-18
36,8:00 AM,55 °F,50 °F,82 %,NE,5 mph,0 mph,21.71 in,0.0 in,Mostly Cloudy,2020-01-18
37,9:00 AM,59 °F,48 °F,67 %,N,3 mph,0 mph,21.73 in,0.0 in,Cloudy,2020-01-18
38,10:00 AM,59 °F,48 °F,67 %,N,5 mph,0 mph,21.73 in,0.0 in,Cloudy,2020-01-18
39,11:00 AM,59 °F,48 °F,67 %,VAR,2 mph,0 mph,21.73 in,0.0 in,Cloudy,2020-01-18
40,12:00 PM,61 °F,48 °F,63 %,NNE,3 mph,0 mph,21.71 in,0.0 in,Cloudy,2020-01-18
41,1:00 PM,61 °F,48 °F,63 %,N,7 mph,0 mph,21.69 in,0.0 in,Cloudy,2020-01-18
42,2:00 PM,63 °F,48 °F,59 %,NNW,6 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2020-01-18
43,3:00 PM,63 °F,48 °F,59 %,NNW,7 mph,0 mph,21.65 in,0.0 in,Showers in the Vicinity,2020-01-18
44,4:00 PM,64 °F,48 °F,56 %,N,5 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2020-01-18
45,5:00 PM,63 °F,48 °F,59 %,ENE,6 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2020-01-18
46,6:00 PM,63 °F,48 °F,59 %,ENE,5 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2020-01-18
47,5:00 AM,57 °F,50 °F,77 %,NW,3 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2020-01-25
48,6:00 AM,57 °F,50 °F,77 %,NNE,5 mph,0 mph,21.65 in,0.0 in,Light Rain,2020-01-25
49,7:00 AM,57 °F,50 °F,77 %,VAR,3 mph,0 mph,21.67 in,0.0 in,Light Rain,2020-01-25
50,8:00 AM,55 °F,54 °F,94 %,NW,7 mph,0 mph,21.69 in,0.0 in,Light Drizzle,2020-01-25
51,8:17 AM,57 °F,55 °F,94 %,NNW,3 mph,0 mph,21.69 in,0.0 in,Rain,2020-01-25
52,9:00 AM,59 °F,54 °F,82 %,NW,3 mph,0 mph,21.71 in,0.0 in,Patches of Fog,2020-01-25
53,10:00 AM,61 °F,52 °F,72 %,N,7 mph,0 mph,21.71 in,0.0 in,Patches of Fog,2020-01-25
54,11:00 AM,57 °F,52 °F,82 %,NE,8 mph,0 mph,21.71 in,0.0 in,Light Rain,2020-01-25
55,11:04 AM,57 °F,52 °F,82 %,ENE,6 mph,0 mph,21.73 in,0.0 in,Rain,2020-01-25
56,12:00 PM,59 °F,55 °F,88 %,VAR,6 mph,0 mph,21.69 in,0.0 in,Mostly Cloudy,2020-01-25
57,1:00 PM,63 °F,54 °F,72 %,N,6 mph,0 mph,21.67 in,0.0 in,Partly Cloudy,2020-01-25
58,2:00 PM,68 °F,50 °F,52 %,N,9 mph,0 mph,21.65 in,0.0 in,Partly Cloudy,2020-01-25
59,3:00 PM,70 °F,50 °F,49 %,NE,12 mph,0 mph,21.60 in,0.0 in,Showers in the Vicinity,2020-01-25
60,4:00 PM,68 °F,46 °F,46 %,N,5 mph,0 mph,21.58 in,0.0 in,Partly Cloudy,2020-01-25
61,5:00 PM,70 °F,48 °F,46 %,VAR,3 mph,0 mph,21.58 in,0.0 in,Fair,2020-01-25
62,6:00 PM,70 °F,46 °F,43 %,NNW,3 mph,0 mph,21.56 in,0.0 in,Fair,2020-01-25
63,5:00 AM,57 °F,48 °F,72 %,NNE,7 mph,0 mph,21.65 in,0.0 in,Partly Cloudy,2020-02-01
64,6:00 AM,57 °F,50 °F,77 %,ENE,2 mph,0 mph,21.65 in,0.0 in,Mostly Cloudy,2020-02-01
65,7:00 AM,59 °F,50 °F,72 %,NE,1 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2020-02-01
66,8:00 AM,59 °F,50 °F,72 %,N,5 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2020-02-01
