,hora,temperatura,Punto de rocio,Humedad,viento,nudos de viento,Rafaga,Presion,Precipitacion,Condicion,fecha
0,7:00 AM,57 °F,52 °F,82 %,CALM,0 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2021-01-01
1,8:00 AM,59 °F,52 °F,77 %,VAR,2 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2021-01-01
2,9:00 AM,64 °F,50 °F,59 %,VAR,2 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2021-01-01
3,10:00 AM,64 °F,48 °F,56 %,NNW,3 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2021-01-01
4,11:00 AM,66 °F,46 °F,49 %,VAR,2 mph,0 mph,21.65 in,0.0 in,Mostly Cloudy,2021-01-01
5,12:00 PM,68 °F,50 °F,52 %,VAR,1 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2021-01-01
6,1:00 PM,70 °F,46 °F,43 %,VAR,1 mph,0 mph,21.63 in,0.0 in,Mostly Cloudy,2021-01-01
7,7:00 AM,57 °F,48 °F,72 %,NE,5 mph,0 mph,21.67 in,0.0 in,Cloudy,2021-01-02
8,8:00 AM,57 °F,52 °F,82 %,E,2 mph,0 mph,21.69 in,0.0 in,Light Rain,2021-01-02
9,9:00 AM,57 °F,52 °F,82 %,E,5 mph,0 mph,21.69 in,0.0 in,Light Rain,2021-01-02
10,10:00 AM,57 °F,50 °F,77 %,E,2 mph,0 mph,21.69 in,0.0 in,Light Rain,2021-01-02
11,11:00 AM,61 °F,50 °F,68 %,NNE,3 mph,0 mph,21.67 in,0.0 in,Mostly Cloudy,2021-01-02
12,12:00 PM,68 °F,48 °F,49 %,S,5 mph,0 mph,21.65 in,0.0 in,Partly Cloudy,2021-01-02
13,1:00 PM,70 °F,46 °F,43 %,VAR,2 mph,0 mph,21.60 in,0.0 in,Partly Cloudy,2021-01-02
14,2:00 PM,73 °F,46 °F,38 %,NE,5 mph,0 mph,21.56 in,0.0 in,Partly Cloudy,2021-01-02
15,7:00 AM,52 °F,50 °F,94 %,VAR,2 mph,0 mph,21.65 in,0.0 in,Light Rain,2021-01-03
16,8:00 AM,52 °F,50 °F,94 %,VAR,2 mph,0 mph,21.67 in,0.0 in,Light Rain,2021-01-03
17,9:00 AM,54 °F,50 °F,88 %,CALM,0 mph,0 mph,21.67 in,0.0 in,Rain,2021-01-03
